Layer 1			
phi	   kx	          ky	            kz
0.22709	506.75268	152.02580	277.55987
0.18509	551.06506	165.31952	301.83076
0.19537	597.13795	179.14139	327.06593
0.21196	632.30003	189.69001	346.32499
0.22141	641.01685	192.30506	351.09939
0.22865	775.02807	232.50842	424.50036
0.25355	821.40053	246.42016	449.89960
0.27988	1025.28990	307.58697	561.57441
0.29634	1037.46192	311.23858	568.24130
0.33930	1151.24041	345.37212	630.56034
0.32119	997.98724	299.39617	546.62012
0.31845	990.55235	297.16571	542.54787
0.30445	919.74869	275.92461	503.76710
0.29838	894.91457	268.47437	490.16490
0.27930	921.27289	276.38187	504.60194
0.26172	813.84227	244.15268	445.75977
0.26469	683.33280	204.99984	374.27679
0.25210	686.29101	205.88730	375.89707
0.24950	682.23239	204.66972	373.67407
0.24142	633.55057	190.06517	347.00994
0.25747	818.38545	245.51564	448.24817
0.25361	728.83878	218.65163	399.20144
0.24236	804.88276	241.46483	440.85244
0.23683	783.14466	234.94340	428.94600
0.22736	803.20805	240.96242	439.93517
0.22646	776.18379	232.85514	425.13337
0.23650	665.22459	199.56738	364.35851
0.28568	994.68796	298.40639	544.81303
0.28850	1039.38407	311.81522	569.29410
0.30584	1061.50332	318.45100	581.40931
0.30923	1021.42838	306.42851	559.45936
0.34373	1143.65410	343.09623	626.40515
0.31712	947.13267	284.13980	518.76593
0.31351	957.56353	287.26906	524.47915
0.27981	935.56057	280.66817	512.42763
0.27621	925.13828	277.54148	506.71910
0.25071	818.30151	245.49045	448.20220
0.26137	802.44200	240.73260	439.51558
0.26590	842.65728	252.79718	461.54240
0.27940	854.81321	256.44396	468.20048
0.27586	867.94608	260.38382	475.39365
0.26563	925.53622	277.66087	506.93707
0.26882	897.41878	269.22563	491.53651
0.24978	776.12217	232.83665	425.09962
0.25124	822.82617	246.84785	450.68045
0.24239	723.79994	217.13998	396.44155
0.23981	857.84666	257.35400	469.86197
0.29255	927.23900	278.17170	507.86972
0.28366	897.48731	269.24619	491.57404
0.30157	1139.15901	341.74770	623.94309
0.32050	1110.22042	333.06613	608.09277
0.31442	1075.81048	322.74314	589.24567
0.35216	1171.89990	351.56997	641.87601
0.32547	1033.26078	309.97823	565.94024
0.29649	1056.23964	316.87189	578.52628
0.27370	1079.10413	323.73124	591.04967
0.26889	943.21859	282.96558	516.62210
0.26822	937.89878	281.36963	513.70832
0.25384	862.63892	258.79168	472.48680
0.25890	872.12288	261.63686	477.68137
0.27534	953.70752	286.11226	522.36712
0.27350	918.24938	275.47481	502.94590
0.27608	1021.80570	306.54171	559.66603
0.27963	957.10926	287.13278	524.23033
0.26088	893.31212	267.99364	489.28720
0.24561	866.25437	259.87631	474.46706
0.22699	745.50298	223.65089	408.32880
0.26359	719.53928	215.86178	394.10789
0.28246	954.36353	286.30906	522.72643
0.29483	980.10699	294.03210	536.82671
0.28742	957.20157	287.16047	524.28089
0.30028	1007.95993	302.38798	552.08239
0.30524	1037.85092	311.35528	568.45436
0.34986	1111.65907	333.49772	608.88075
