Layer 3			
phi	   kx	          ky	                  kz
0.30914	357.04933	107.11480	195.56397
0.29785	347.05136	104.11541	190.08786
0.27348	153.14972	45.94492	83.88356
0.30662	327.18334	98.15500	179.20570
0.24306	370.47197	111.14159	202.91585
0.29632	547.68150	164.30445	299.97751
0.30508	536.00437	160.80131	293.58168
0.28219	456.39881	136.91964	249.97992
0.31772	470.17822	141.05347	257.52722
0.28348	510.53214	153.15964	279.62997
0.27444	530.97284	159.29185	290.82580
0.23376	575.71860	172.71558	315.33406
0.25975	616.68830	185.00649	337.77409
0.27983	627.10158	188.13047	343.47768
0.26646	551.71242	165.51373	302.18534
0.31733	655.03734	196.51120	358.77873
0.29970	572.27113	171.68134	313.44581
0.28629	489.40835	146.82251	268.05999
0.27214	453.84532	136.15360	248.58132
0.29359	460.82333	138.24700	252.40333
0.34003	397.39643	119.21893	217.66299
0.27970	301.30393	90.39118	165.03096
0.29565	219.54907	65.86472	120.25198
0.32331	317.01233	95.10370	173.63480
0.28301	382.05299	114.61590	209.25904
0.24036	388.12155	116.43647	212.58293
0.29243	550.80945	165.24284	301.69076
0.27237	412.72688	123.81806	226.05982
0.31062	541.69227	162.50768	296.69708
0.31286	550.28581	165.08574	301.40395
0.27098	566.33924	169.90177	310.19678
0.27365	584.76353	175.42906	320.28818
0.26415	567.37489	170.21247	310.76403
0.27915	582.36303	174.70891	318.97337
0.29853	579.51994	173.85598	317.41614
0.28422	581.45176	174.43553	318.47425
0.29243	657.01272	197.10382	359.86069
0.26361	463.78407	139.13522	254.02500
0.27227	416.43755	124.93127	228.09224
0.30428	468.58023	140.57407	256.65196
0.34192	463.99929	139.19979	254.14288
0.26348	265.01654	79.50496	145.15554
0.29916	309.64017	92.89205	169.59691
0.33944	295.43473	88.63042	161.81627
0.32281	389.62667	116.88800	213.40732
0.21699	400.18458	120.05537	219.19012
0.26441	488.08232	146.42470	267.33370
0.27616	410.79461	123.23838	225.00147
0.30549	520.98438	156.29531	285.35490
