Layer 2			
phi	   kx	           ky	         kz
0.25484	1062.39131	318.71739	581.89569
0.23863	977.71175	293.31353	535.51478
0.22098	930.54405	279.16322	509.67997
0.23659	968.83344	290.65003	530.65193
0.21341	805.18328	241.55498	441.01705
0.24825	811.73178	243.51953	444.60381
0.23147	817.49143	245.24743	447.75850
0.23550	716.43416	214.93025	392.40715
0.25411	800.61678	240.18503	438.51587
0.28931	952.31754	285.69526	521.60580
0.30770	906.31187	271.89356	496.40746
0.27346	739.99888	221.99966	405.31408
0.26128	611.83433	183.55030	335.11546
0.28117	501.54956	150.46487	274.71001
0.25900	480.45232	144.13570	263.15457
0.23241	408.93214	122.67964	223.98136
0.22499	505.43717	151.63115	276.83934
0.22470	593.90313	178.17094	325.29414
0.24715	770.59600	231.17880	422.07281
0.21528	819.53808	245.86142	448.87949
0.20330	856.99540	257.09862	469.39571
0.22387	888.00129	266.40039	486.37834
0.23663	938.72673	281.61802	514.16181
0.22934	927.21439	278.16432	507.85624
0.22797	879.34834	263.80450	481.63892
0.21877	671.96663	201.58999	368.05128
0.23982	848.10152	254.43046	464.52433
0.22106	757.91331	227.37399	415.12622
0.25177	807.48096	242.24429	442.27554
0.28702	887.71552	266.31466	486.22181
0.31404	964.82981	289.44894	528.45905
0.31248	893.97659	268.19298	489.65114
0.28182	687.62393	206.28718	376.62714
0.25530	526.59036	157.97711	288.42542
0.29023	433.68125	130.10438	237.53700
0.26028	462.49233	138.74770	253.31748
0.22947	353.95798	106.18739	193.87077
0.25469	457.45732	137.23720	250.55969
0.21724	656.02717	196.80815	359.32088
0.22780	780.91161	234.27348	427.72290
0.22062	847.82207	254.34662	464.37127
0.20565	830.40769	249.12231	454.83302
0.23805	850.24488	255.07346	465.69830
0.21674	845.16938	253.55081	462.91833
0.20079	888.42073	266.52622	486.60807
0.21408	660.23239	198.06972	361.62417
0.20322	643.66372	193.09912	352.54914
0.23743	786.75442	236.02633	430.92314
0.22638	813.91797	244.17539	445.80123
0.22391	687.27666	206.18300	376.43693
0.30446	993.63607	298.09082	544.23689
0.29293	948.83873	284.65162	519.70038
0.28947	813.63075	244.08923	445.64392
0.27184	652.48505	195.74552	357.38078
0.26133	463.43120	139.02936	253.83172
0.28037	433.34630	130.00389	237.35354
0.25778	365.17836	109.55351	200.01643
0.24729	344.27155	103.28147	188.56529
0.22631	504.02132	151.20640	276.06385
0.21354	644.00643	193.20193	352.73685
0.20334	709.76750	212.93025	388.75567
0.22114	778.37602	233.51281	426.33410
0.22044	746.01242	223.80373	408.60783
0.23434	807.15028	242.14508	442.09442
0.18168	660.69024	198.20707	361.87495
0.18855	517.97280	155.39184	283.70539
0.18832	585.22553	175.56766	320.54122
0.18270	610.13140	183.03942	334.18273
0.21503	813.90961	244.17288	445.79665
0.20733	774.91406	232.47422	424.43791
0.21752	682.39348	204.71804	373.76230
0.26353	879.48357	263.84507	481.71299
0.31380	965.01936	289.50581	528.56287
0.32137	831.87585	249.56276	455.63717
0.27296	558.65147	167.59544	305.98601
0.27955	453.87328	136.16198	248.59663
0.24851	366.59570	109.97871	200.79273
0.23397	339.12060	101.73618	185.74400
0.24132	395.29800	118.58940	216.51363
0.23235	517.22514	155.16754	283.29588
0.22058	611.88132	183.56440	335.14120
0.22378	715.63000	214.68900	391.96669
0.25224	778.28095	233.48429	426.28203
0.23195	633.95742	190.18723	347.23278
0.21032	626.53815	187.96145	343.16908
0.21389	629.69946	188.90984	344.90060
0.20420	607.05851	182.11755	332.49964
0.19641	603.93416	181.18025	330.78836
0.19285	660.53953	198.16186	361.79240
0.20345	742.89101	222.86730	406.89816
0.19445	617.87666	185.36300	338.42498
0.21785	745.42464	223.62739	408.28589
0.25601	817.68431	245.30529	447.86414
0.32197	976.79825	293.03948	535.01444
0.31450	754.64086	226.39226	413.33382
0.28787	577.75167	173.32550	316.44762
0.28233	459.38251	137.81475	251.61416
0.25092	378.40738	113.52221	207.26226
0.23472	389.38544	116.81563	213.27519
0.23226	448.26762	134.48029	245.52629
0.21330	454.87391	136.46217	249.14470
0.22367	603.59454	181.07836	330.60235
0.24508	611.08662	183.32599	334.70593
0.21996	565.16653	169.54996	309.55446
0.21965	602.15911	180.64773	329.81613
0.23899	668.24889	200.47467	366.01499
